record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"T","4.2","20180309","USFWS","USFWS","07","055637","12",,,"D","072017Eagle Cre","2",,"2015","20170411","20170411","5F333    0300210000","5F33301  H1     22","5F333    101","S","H",,"FR","24.81","136",,"5000","24252","0000","49","5000","298312",,,"B","0.01","329","504",,"EC COS 15 46 Eagle Creek Eagle Creek NFH","EAGLE CR (CLACKAMAS)","EAGLE CR NFH","EAGLE CR NFH","OR","LOCR","WILL","N","24252","49","298312","0","0"
"T","4.2","20211102","USFWS","USFWS","07","056281","12",,,,,"2",,"2019","20210412","20210414","3F21702  210429 R","3F21702  210429 H","3F21702  210429 S","S","H","B","FR","33.85",,"N","5000","80579",,,"5000","591524",,,"B","0.0263","53","533",,"QUIN001920","COOK CR      21.0429","QUINAULT NFH -COOK C","COOK CR      21.0429","WA","NWC","QEQU","N","80579","0","591524","0","0"
"N","4.2","20160414","YAKA","YAKA","11","!11YNKL0315",,,,,,"2","7","2013","20150511","20150514","3F42001  300002 H","3F42001  300002 H","3F42001         S96","S","H","P","MX","26.68","137","N",,,,,"5000","1031665",,,"B",,,,,"AD","KLICKITAT HATCHERY (YKFP)","KLICKITAT HATCHERY (YKFP)","LEWIS R +WASHOUGAL R","WA","CECR","KLIC","N","0","0","1031665","0","0"
"T","4.2","20160414","YAKA","YAKA","11","636706","13",,,,,"2","7","2013","20150511","20150514","3F42001  300002 H","3F42001  300002 H","3F42001         S96","S","H","P","MX","26.68","137","N","5000","45885",,,,,,,"B",,,,,"AD + CWT","KLICKITAT HATCHERY (YKFP)","KLICKITAT HATCHERY (YKFP)","LEWIS R +WASHOUGAL R","WA","CECR","KLIC","N","45885","0","0","0","0"
"T","4.2","20190110","YAKA","YAKA","11","637075","13",,,,,"2","7","2015","20170410","20170412","3F42001  300002 H","3F42001  300002 H","3F42001         S96","S","H","P","MX","14.63","106","N","5000","44677",,,,,,,"B",,,,,"AD + CWT","KLICKITAT HATCHERY (YKFP)","KLICKITAT HATCHERY (YKFP)","LEWIS R +WASHOUGAL R","WA","CECR","KLIC","N","44677","0","0","0","0"
"N","4.2","20190110","YAKA","YAKA","11","!11YNKL0217",,,,,,"2","7","2015","20170410","20170412","3F42001  300002 H","3F42001  300002 H","3F42001         S96","S","H","P","MX","14.63","106","N",,,,,"5000","1045323",,,"B",,,,,"AD","KLICKITAT HATCHERY (YKFP)","KLICKITAT HATCHERY (YKFP)","LEWIS R +WASHOUGAL R","WA","CECR","KLIC","N","0","0","1045323","0","0"
"T","4.2","20231012","YAKA","YAKA","11","190673","13",,,,,"2","5","2021","20230426","20230427","3F42001  480007 R","5F33405  H5     21","3F42001  480002 S","S","H","B","FR","25.2","132","N","0000","23782",,,"0350","1743",,,,"0.033","241","275",,"Smolts released from the Twisp Weir Pond in 2023.","METHOW R     48.0007","CASCADE HATCHERY","METHOW R     48.0002","WA","UPCR","MEOK","N","0","23782","0","1743","0"
"N","4.2","20160831","STIL","STIL","18","!182016JD002",,,,,,"2","3","2015","20160502","20160502","3F10308  050131 R","3F10308  050131 H","3F10308  050254 S","F","H","P","FR","0.56",,,,,,,"0000","6000",,,"B",,,,,"LOW BROOD, EARLY RELEASE","HARVEY CR    05.0131","HARVEY CR HATCHERY","FORTSON CR   05.0254","WA","NPS","STIL","N","0","0","0","6000","0"
"T","4.2","20240201","YAKA","YAKA","11","638227","12",,,,,"2","7","2021","20230424","20230428","3F42001  300002 R","3F42001  300002 H01","3F42001  270168 S","S","H","P","VO",,,"N","5000","46061",,,"5000","1058539",,,,"0",,,,,"KLICKITAT R  30.0002","KLICKITAT HATCHERY","LEWIS R      27.0168","WA","CECR","KLIC","N","46061","0","1058539","0","0"
"T","4.2","20231012","YAKA","YAKA","11","190677","13",,,,,"2","5","2021","20230419","20230501","3F42001  480002 R03","3F42001  480002 H","3F42001  480002 S","S","H","B","VO","30.24","136","N","0000","152717",,,"0000","73",,,,"0.055","274","2210",,"Smolts released from Winthrop NFH in 2023.","WINTHROP NFH","WINTHROP NFH","METHOW R     48.0002","WA","UPCR","MEOK","N","0","152717","0","73","0"
