year,StockID,StockLongName,spwn,hvst
1986,1,Nooksack River Wild UnMarked,249.99596,6293.562145
1986,11,Samish River Wild UnMarked,3099.933292,18261.474609
1986,17,Skagit River Wild UnMarked,50849.808524,106367.059349
1986,23,Baker (Skagit) Wild UnMarked,2858.815709,5980.0386849999995
1986,29,Stillaguamish River Wild UnMarked,12539.966584,25835.318762
1986,35,Snohomish River Wild UnMarked,58677.136058,87801.781902
1986,45,Area 12/12B Wild UnMarked,8932.850627,30284.664569
1986,51,Area 12A Wild UnMarked,249.927277,1707.5987320000002
1986,55,Area 12C/12D Wild UnMarked,9838.9367,38148.994487
1986,59,Skokomish River Wild UnMarked,1715.98353,8088.679005
1986,61,Area 13B Miscellaneous Wild UnMarked,2399.931134,10531.610209
1986,63,Deschutes River (WA) Wild UnMarked,2325.377059,6532.948437
1986,69,Nisqually River Wild UnMarked,849.969247,18782.000902
1986,75,Area 13 Miscellaneous Wild UnMarked,399.964268,1779.497083
1986,81,Area 13A Miscellaneous Wild UnMarked,74.953452,625.639832
1986,85,Puyallup River Wild UnMarked,849.991921,28684.853506
1986,89,Area 11 Miscellaneous Wild UnMarked,349.924384,1335.98605
1986,93,Area 10E Miscellaneous Wild UnMarked,1749.980709,7545.2992
1986,97,Green River Wild UnMarked,1034.985838,9852.334427
1986,101,Lake Washington Wild UnMarked,2999.956536,27355.057056
1986,105,Area 10 Miscellaneous Wild UnMarked,399.894396,888.119801
1986,107,Dungeness River Wild UnMarked,161.960959,1910.273705
1986,111,Elwha River Wild UnMarked,284.978246,1634.536439
1986,115,East JDF Miscellaneous Wild UnMarked,1954.527735,4238.518468
1986,117,West JDF Miscellaneous Wild UnMarked,4672.842386,10450.789159
1986,127,Quillayute River Summer Natural UnMarked,349.999398,7736.460889
1986,131,Quillayute River Fall Natural UnMarked,5431.001036,13322.595973
1986,135,Hoh River Wild UnMarked,2135.028033,7253.912606
1986,139,Queets River Fall Natural UnMarked,2599.91992,10169.904499
1986,145,Quinault River Fall Natural UnMarked,2399.845413,5032.207147
1986,149,Chehalis River Wild UnMarked,12927.44128,38528.869496
1986,153,Humptulips River Wild UnMarked,1008.485835,9014.673951
1986,157,Grays Harbor Miscellaneous Wild UnMarked,691.524116,1050.175223
1986,161,Willapa Bay Natural UnMarked,5784.506708,25105.212904
1987,1,Nooksack River Wild UnMarked,2749.96904,38902.370486
1987,11,Samish River Wild UnMarked,3549.948538,20365.138609
1987,17,Skagit River Wild UnMarked,56001.726972,69917.504545
1987,23,Baker (Skagit) Wild UnMarked,2057.855648,2569.208836
1987,29,Stillaguamish River Wild UnMarked,7426.495664,23070.432972
1987,35,Snohomish River Wild UnMarked,46638.733113,90669.272748
1987,45,Area 12/12B Wild UnMarked,3643.472195,22400.465656
1987,51,Area 12A Wild UnMarked,211.995055,8146.823802
1987,55,Area 12C/12D Wild UnMarked,4012.953476,34230.839778
