watershed,hatchery_location_code,release_location_code,rearing_type,release_scalar,species,run,id
Green,3F10510  090113 H02,3F10510  090113 R,H,1,2,,1
Green,3F10510  090072 H,3F10510  090072 R,H,1,2,,2
Baker,3F10208  030435 H,3F10208  030435 R,H,1,2,,3
Baker,,3F10208  030435 R,W,0.8064,2,,4
Big Beef Creek,,3F10412  150389 R,W,0.8106,2,,5
Big Qualicum,2FS  GSVIH0100,2FS  GSVIS0100,H,1,2,,6
Bingham Creek,,3F21802  220465 R,W,0.8064,2,,7
Chehalis,3F21802  230761 H02,3F21802  230761 S,H,1,2,,8
Chehalis,3F21802  230761 H,3F21802  230761 S,H,1,2,,9
Coldwater,2FS  TOMMH0160,2FS  TOMMR1387,H,1,2,,10
Cowlitz,3F42001  260002 H02,3F42001  260002 R,H,1,2,,11
Deschutes,,3F10513  130028 R,W,0.8097,2,,12
Dungeness,3F10806  180018 H,3F10806  180018 R,H,1,2,,13
Eagle,2FS  TOMMH0160,2FS  TOMFR0156,H,1,2,,14
Elliot Bay Net Pens,3M10510  888109 H,3M10510  888109 R,H,1,2,,15
Elochoman,3F42001  250236 H,3F42001  250236 R,H,1,2,,16
Elwha,3F10806  180274 H01,3F10806  180274 H01,H,1,2,,17
Goldstream,2FS  GSVIH0295,2FS  GSVIR0295,H,1,2,,18
Gorst Creek Ponds,3F10510  150216 H,3M10510  888106 H,H,1,2,,19
Grays River,3F42001  250131 H,3F42001  250131 R,H,1,2,,20
Kalama Creek,3F10513  110013CH,3F10513  110013CR,H,1,2,,21
Kalama Creek,3F10513  110017AH,3F10513  110017AR,H,1,2,,22
Lake Washington,3F10510  080178 H,3F10510  080178 H,H,1,2,,23
Lemieux,2FS  TOMFH0260,2FS  TOMFR0258,H,1,2,,24
Lang,2FS  GSMNH0444,2FS  GSMNS0444,H,1,2,,25
Lewis,3F42001  270168 H,3F42001  270168 R,H,1,2,,26
Lummi Ponds,3M10107  888001 R,3M10107  888001 R,H,1,2,,27
Lummi Ponds,3M10107  888001 H,3M10107  888001 R,H,1,2,,28
Minter Creek,,3F10513  150048 R,W,1,2,,29
Minter Creek,3F10513  150048 H,3F10513  150048 R,H,1,2,,30
Naselle,3F21902  240543 H,3F21902  240543 R,H,1,2,,31
Nooksack,3F10107  010273 H,3F10107  010273 R,H,1,2,,32
Port Gamble Net Pens,3M10409  888401 H,3M10409  888401 R,H,1,2,,33
Puyallup,3F10511  100414 H,3F10511  100414 R,H,1,2,,34
Puyallup Pens,3F10511  100414 H,3F10511  100414 H,H,1,2,,35
Puyallup Pens,3F10511  100414 H,3F10511  10     R73,H,1,2,,36
Puyallup Pens,3F10511  100414 H,3F10511  100625 R,H,1,2,,37
Queets,3F21703  210139 H,3F21703  210139 R,H,1,2,,38
Queets,,3F21703  210024ZR02,W,1,2,,39
Queets,,3F21703  210024ZR08,W,1,2,,40
Queets,,3F21703  210024ZR09,W,1,2,,41
Queets,,3F21703  210024ZR07,W,1,2,,42
Queets,,3F21703  210156AR,W,1,2,,43
Queets,,3F21703  210024ZR03,W,1,2,,44
Queets,,3F21703  210163AR,W,1,2,,45
Queets,,3F21703  210163 R,W,1,2,,46
Queets,,3F21703  210202 R,W,1,2,,47
Queets,,3F21703  210274 R,W,1,2,,48
Queets,,3F21703  210025 R,W,1,2,,49
Queets,,3F21703  210048 R,W,1,2,,50
Queets,,3F21703  210065 R,W,1,2,,51
Queets,,3F21702  210136AR,W,1,2,,52
Queets,,3F21703  210077 R,W,1,2,,53
Queets,,3F21703  210016ZR,W,1,2,,54
Quilcene,3F10412  170012 H,3F10412  170012 R,H,1,2,,55
Quilcene Pens,3M10412  888402 H,3M10412  888402 R,H,1,2,,56
Quinault,3F21702  210429 H,3F21702  210429 R,H,1,2,,57
Satsop,3F21802  220360 H,3F21802  220360 R02,H,1,2,,58
Skagit,3F10208  031421 H,3F10208  031411 R,H,1,2,,59
Skykomish,3F10308  070943 H,3F10308  070940 R,H,1,2,,60
Skykomish,,3F10308  070012 R03,W,0.8084,2,,61
SolDuc,,3F21703  200096 R02,W ,1,2,,62
Skokomish,3F10412  160005 H,3F10412  160005 R,H,1,2,,63
Willapa,3F21902  240356 H,3F21902  240356 R,H,1,2,,65
Big Qualicum Fall,2FS  GSVIH0100,2FS  GSVIR0100,H,1,1,3,66
Chilliwack Fall (Harrison Stock),2FS  LWFRH0107,2FS  LWFRR0107,H,1,1,3,67
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR0118,H,1,1,3,68
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR0335,H,1,1,3,69
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR0324,H,1,1,3,70
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR2660,H,1,1,3,71
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR0355,H,1,1,3,72
Cowichan Fall,2FS  GSVIH0118,2FS  GSVIR0399,H,1,1,3,73
Cowlitz Fall Tule,3F42001  260002 H02,3F42001  260002 R,H,1,1,3,74
Cowlitz Fall Tule,3F42001  260002 H02,3F42001  25    ZR,H,1,1,3,75
Dome Cr Spring,2FS  UPFRH0270,2FS  UPFRR1890,H,1,1,1,76
Dungeness/Gray Wolf Spring Fingerling,3F10806  180018 H,3F10412  160442 R,H,1,1,1,77
Dungeness/Gray Wolf Spring Fingerling,3F10806  180018 H,3F10806  180018 R,H,1,1,1,78
