StockID,year,smolt
149,1986,3592275
149,1987,2928496
149,1988,1351175
149,1989,1624967
149,1990,1884804
149,1991,849500
149,1992,5629500.626
149,1993,1471254
149,1994,2385157
149,1995,1174326
149,1996,502917.8112
149,1997,1910068
149,1998,2198298
149,1999,555537.9961
149,2000,1408940
149,2001,2055636
149,2002,3389156
149,2003,2081367
149,2004,1387410
149,2005,3023725
149,2006,1129880
149,2007,1642821
149,2008,2083262
149,2009,2723180
149,2010,2733876
149,2011,3769789
149,2012,2973361
149,2013,2600733
149,2014,2578902
149,2015,1522828
149,2016,3231254
149,2017,2709300
63,1986,99241
63,1987,91057
63,1988,54397
63,1989,117164
63,1990,133198
63,1991,10101
63,1992,76438
63,1993,29652
63,1994,19686
63,1995,23912
63,1996,38197
63,1997,6454
63,1998,15521
63,1999,23862
63,2000,3159
63,2001,1187
63,2002,71284
63,2003,1953
63,2004,6073
63,2005,59503
63,2006,3416
63,2007,3049
63,2008,43074
63,2009,7176
63,2010,5089
63,2011,86820
63,2012,5873
63,2013,1897
63,2014,54938
63,2015,1363
63,2016,2011
63,2017,4536
63,2018,20451
107,2005,57095
107,2006,43888
107,2007,22134
107,2008,21293
107,2009,30780
107,2010,38210
107,2011,26280
107,2012,31794
107,2013,52336
107,2014,35839
107,2015,6040
107,2016,20493
107,2017,12991
97,2000,32769
97,2001,55113
97,2002,194393
97,2003,156259
97,2004,60000
97,2005,112000
97,2006,31460
97,2007,22671
97,2008,12553
97,2009,81120
97,2010,43763
97,2011,62280
97,2012,48148
97,2013,50642
97,2014,106365
97,2015,42564
97,2016,62074
97,2017,69469
97,2018,57609
69,2009,128497
69,2010,179220
69,2011,254456
69,2012,80048
69,2013,164400
69,2014,203827
69,2015,118580
69,2016,84524
69,2017,58930
69,2018,156355
1,2005,476265
1,2006,343921
1,2007,242462
1,2008,213405
1,2009,445028
1,2010,356281
1,2011,928633
1,2012,556870
1,2013,97615
1,2014,340663
1,2015,102876
1,2016,148785
1,2017,465727
1,2018,472000
139,1986,260047
139,1987,123137
139,1988,188503
139,1989,266606
139,1990,396657
139,1991,206752
139,1992,252158
139,1993,146315
139,1994,243868
139,1995,187355
139,1996,106729
139,1997,397447
139,1998,154327
139,1999,80787
139,2000,387337
139,2001,346916
139,2002,372890
139,2003,427109
139,2004,329530
139,2005,354507
139,2006,311456
139,2007,250768
139,2008,231800
139,2009,420477
139,2010,238055
139,2011,412721
139,2012,326403
139,2013,379090
139,2014,235523
139,2015,155936
139,2016,219107
139,2017,172872
139,2018,297034
17,1990,774641
17,1991,648135
17,1992,1063767
17,1993,617588
17,1994,1129123
17,1995,726660
17,1996,1124504
17,1997,1174377
17,1998,1759597
17,1999,702696
17,2000,1452630
17,2001,1013523
17,2002,1884668
17,2003,1382479
17,2004,885082
17,2005,1017519
17,2006,735876
17,2007,747491
17,2008,426963
17,2009,1475065
17,2010,1447110
17,2011,951990
17,2012,1521821
17,2013,1409208
17,2014,1722084
17,2015,665087
17,2016,729392
17,2017,1376182
17,2018,1493126
35,2002,3786000
35,2003,3209000
35,2004,3504000
35,2005,1395000
35,2006,2424000
35,2007,838000
35,2010,1595000
35,2011,1532000
35,2012,1886000
35,2013,1552000
35,2014,3031000
35,2015,1395000
35,2016,2025000
35,2017,1465000
35,2018,1294000
149,2018,3287891
107,2018,58173
149,2019,1516207
107,2019,48462
97,2019,59398
69,2019,63679
1,2019,757724
139,2019,226242
17,2019,1199873
35,2019,1508000
107,2020,34434
97,2020,30480
69,2020,62153
1,2020,1348442
139,2020,161650
17,2020,1057204
